cpse,legacy_code,description,category,specification,uom
NTPC,NTPC/BRG/1566,Spherical - Roller Bearing 22218,Bearing,90x160x40,EA
ONGC,ONGC/PMP/1518,VERTICAL TURBINE PUMP 200MM,,"200mm column, 75kW",SET
NTPC,NTPC/VLV/1570,Check Valve 150mm CS Class 150 RF,Valve,"CS, NACE, Flanged",NOS
NTPC,NTPC/BRG/1571,Needle Roller Bearing NK45/35,Bearing,45x55x35,NOS
CIL,CIL/PMP/1464,Submersible Pump 10HP 100mm,Pump,"10HP, 100mm bore, 3ph",EA
ONGC,ONGC-VLV-1523,GATE VALVE 150MM CS 300#,Valve,"CS, 300#, RTJ",NOS
SAIL,SAIL_VLV_1496,Foot Valve 100mm CI,Valve,"CI, Flanged, With strainer",PCS
NTPC,NTPC-MTR-1574,Induction Motor 15kW 4P IE3,Motor,"15kW, 4P, 415V, IE3",PCS
CPCL,CPCL/PMP/1547,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",PCS
CIL,CIL-BRG-1471,Deep Groove BALL BRG 6205,Bearing,"25x52x15, SKF/equiv",PCS
CPCL,CPCL_VLV_1552,Foot Valve 100 MM CI,Valve,"CI, Flanged, With strainer",EA
NTPC,NTPC_VLV_1576,Check Valve 150mm CS Class 150 RF,Valve,"CS, NACE, Flanged",PCS
ONGC,ONGC/PIP/1530,CS PIPE 150MM NB SCH80,Pipe,"150 NB, Sch80, API 5L",M
NTPC,NTPC-VLV-1578,Globe Valve 65mm CS 150# RF,Valve,"CS, 150#, Flanged",EA
NTPC,NTPC-PMP-1579,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",NOS
SAIL,SAIL-VLV-1503,Ball Valve 80mm AISI 304 Class 300,,"SS304, Class 300, Screwed",PCS
SAIL,SAIL/PMP/1504,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",EA
IOCL,IOCL_VLV_1457,Gate Valve 8 Inch CI PN10,Valve,"CI, PN10, Flanged",PCS
SAIL,SAIL-PIP-1505,MS Pipe 100mm NB ERW,Pipe,"100 NB, ERW, 6m",NOS
NTPC,NTPC-PMP-1585,Submersible Pump 10HP 100mm,Pump,"10HP, 100mm bore, 3ph",EA
NTPC,NTPC-FLG-1590,Slipon Flange 80mm PN16,Flange,"80 NB, PN16, MS",EA
NTPC,NTPC-PMP-1593,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",EA
SAIL,SAIL_BRG_1511,Deep Groove Ball Bearng 6205,Bearing,"25x52x15, SKF/equiv",NOS
CPCL,CPCL/PIP/1558,HDPE Pipe 110 MM PN10,Pipe,"110mm OD, PN10, PE100",NOS
NTPC,NTPC/MTR/1596,Induction Motor 15kW 4P IE3,Motor,"15kW, 4P, 415V, IE3",NOS
IOCL,IOCL/BRG/1463,Plummer Block UCP210,Bearing,"50mm bore, CI housing",PCS
NTPC,NTPC/PMP/1600,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",PCS
CPCL,CPCL/BRG/1561,Deep Groove Ball Bearing 6205,Bearing,"25x52x15, SKF/equiv",PCS
ONGC,ONGC_VLV_1532,GATE VALVE 50MM SS316 PN40,Valve,"SS316, PN40, Flanged RF",NOS
CPCL,CPCL-BRG-1562,Plu MMer Block UCP210,Bearing,"50mm bore, CI housing",NOS
SAIL,SAIL/VLV/1518,Gate Valve 200mm CI PN10,Valve,"CI, PN10, Flanged",NOS
CPCL,CPCL-MTR-1564,DC Motor 5kW 1500rpm,Motor,"5kW, 220V DC",EA
SAIL,SAIL_PIP_1519,HDPE Pipe 110mm PN10,Pipe,"110mm OD, PN10, PE100",NOS
CPCL,CPCL-PIP-1566,GI Pipe 25 MM Medium,Pipe,"25mm, Medium, IS1239",M
IOCL,IOCL-PMP-1464,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",PCS
NTPC,NTPC-VLV-1602,"Globe, Valve 65mm CS 150# RF",Valve,"CS, 150#, Flanged",NOS
SAIL,SAIL/VLV/1526,Check Valve 150mm CS Class 150,Valve,"CS, NACE, Flanged",PCS
CPCL,CPCL_BRG_1568,Deep Groove Ball Bearing 6205,Bearing,"25x52x15, SKF/equiv",EA
ONGC,ONGC/CBL/1539,XLPE CABLE 3CX120SQMM 1.1KV,Cable,"3Cx120, Al, Armoured",NOS
SAIL,SAIL_VLV_1527,Ball Valve 80mm AISI 304 Class 300,Valve,"SS304, Class 300, Screwed",NOS
SAIL,SAIL_VLV_1534,Safety Relief Valve 50mm SS,Valve,"SS, Set 10 barg, Flanged",PCS
CPCL,CPCL/VLV/1574,Check Valve 150 MM CS CL 150,Valve,"CS, NACE, Flanged",NOS
SAIL,SAIL/CBL/1537,Control Cable 12Cx2.5sqmm,Cable,"12Cx2.5 Cu, Unarm",MTR
CPCL,CPCL/VLV/1576,Needle Vlve 25 MM SS316 6000psi,Valve,"SS316, 6000 psi, NPT",EA
SAIL,SAIL_BRG_1540,Thrust Ball Bearing 51108,Bearing,40x60x13,EA
IOCL,IOCL_VLV_1470,Foot Valve 4 Inch CI,Valve,"CI, Flanged, With strainer",EA
CPCL,CPCL/BRG/1580,Needle Roller Bearing NK45/35,Bearing,45x55x35,NOS
CIL,CIL/VLV/1475,GATE VLV 100mm CS Class 150,Valve,"CS, 150#, Flanged",EA
CPCL,CPCL_PIP_1582,GI Pipe 25 MM Medium,Pipe,"25mm, Medium, IS1239",NOS
ONGC,ONGC-VLV-1544,DIAPHRAGM VALVE 80MM PP,Valve,"PP body, EPDM diaphragm",NOS
CPCL,CPCL_CBL_1588,XLPE Cable 3Cx120sq MM 1.1kV,Cable,"3Cx120, Al, Armoured",MTR
IOCL,IOCL_BRG_1474,Plummer Block UCP210,Bearing,"50mm bore, CI housing",PCS
CPCL,CPCL_BRG_1594,Taper Roller Bearing 32210,Bearing,50x90x24.75,EA
SAIL,SAIL_PIP_1547,CS  Pipe 150mm NB Sch80,Pipe,"150 NB, Sch80, API 5L",M
NTPC,NTPC-VLV-1604,Diaphragm - Valve 80mm PP RF,Valve,"PP body, EPDM diaphragm",NOS
CPCL,CPCL-MTR-1600,Flameproof Motor 30kW Exd,Motor,"30kW, Exd IIB, 415V",NOS
CIL,CIL_VLV_1478,GATE VLV 50mm SS316 PN40,Valve,"SS316, PN40, Flanged RF",EA
NTPC,NTPC/VLV/1609,Plug Valve 100mm CS PTFE RF,Valve,"CS+PTFE sleeve, 150#",EA
NTPC,NTPC/FLG/1612,"Slipon, Flange 80mm PN16",Flange,"80 NB, PN16, MS",PCS
CIL,CIL/VLV/1479,GATE VLV 100mm CS Class 150,Valve,"CS, 150#, Flanged",NOS
IOCL,IOCL-PMP-1477,Vertical Turbine Pump 8 Inch,Pump,"200mm column, 75kW",EA
ONGC,ONGC-MTR-1548,FLAMEPROOF MOTOR 30KW EXD,Motor,"30kW, Exd IIB, 415V",EA
ONGC,ONGC-CBL-1549,HT CABLE 3CX300 11KV,Cable,3Cx300 Al XLPE 11kV,NOS
ONGC,ONGC/VLV/1555,CHECK VALVE 150MM CS CL 150,Valve,"CS, NACE, Flanged",EA
CPCL,CPCL-PIP-1607,HDPE Pipe 110 MM PN10,Pipe,"110mm OD, PN10, PE100",MTR
ONGC,ONGC-PMP-1556,MULTISTAGE PUMP 65X50 30KW,Pump,"65x50, 30kW, 8 stage",EA
CIL,CIL_VLV_1484,BALL VLV 50mm Brass Screwed,Valve,"Brass, Screwed BSP",EA
CIL,CIL/VLV/1491,Safety Relief VLV 50mm SS,,"SS, Set 10 barg, Flanged",EA
ONGC,ONGC-VLV-1562,NEEDLE VALVE 25MM SS316 6000PSI,Valve,"SS316, 6000 psi, NPT",PCS
ONGC,ONGC-VLV-1566,GATE VALVE 200MM CI PN10,Valve,"CI, PN10, Flanged",NOS
NTPC,NTPC-VLV-1616,Knife Gate Valve 250mm SS RF,Valve,"SS gate, PN10, Lug",NOS
ONGC,ONGC_BRG_1567,PLUMMER BLOCK UCP210,Bearing,"50mm bore, CI housing",PCS
CIL,CIL-VLV-1494,BALL VLV 50mm Brass Screwed,Valve,"Brass, Screwed BSP",EA
NTPC,NTPC_BRG_1617,Deep Groove Ball Bearing 6205,Bearing,"25x52x15, SKF/equiv",NOS
NTPC,NTPC/VLV/1618,Check Valve 150mm CS Class 150 RF,Valve,"CS, NACE, Flanged",PCS
CPCL,CPCL/VLV/1611,Gate Valve 150 MM CS 300#,Valve,"CS, 300#, RTJ",NOS
SAIL,SAIL_PMP_1553,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",EA
CIL,CIL/VLV/1497,BALL VLV 50mm Brass Screwed,Valve,"Brass, Screwed BSP",NOS
IOCL,IOCL_VLV_1479,Globe Valve 65mm Carbon Steel 150#,Valve,"CS, 150#, Flanged",NOS
IOCL,IOCL/VLV/1480,Ball Valve 2 Inch Brass Screwed,Valve,"Brass, Screwed BSP",EA
ONGC,ONGC/VLV/1570,KNIFE GATE VALVE 250MM SS,Valve,"SS gate, PN10, Lug",EA
CPCL,CPCL-PMP-1618,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",PCS
CIL,CIL/VLV/1501,GATE  VLV 200mm CI PN10,Valve,"CI, PN10, Flanged",EA
ONGC,ONGC_VLV_1571,KNIFE GATE VALVE 250MM SS,Valve,"SS gate, PN10, Lug",EA
CIL,CIL_VLV_1505,Safety Relief VLV 50mm SS,Valve,"SS, Set 10 barg, Flanged",NOS
IOCL,IOCL/VLV/1484,Globe  Valve 65mm Carbon Steel 150#,Valve,"CS, 150#, Flanged",EA
ONGC,ONGC/VLV/1577,GATE VALVE 50MM SS316 PN40,Valve,"SS316, PN40, Flanged RF",NOS
IOCL,IOCL/BRG/1488,Taper - Roller Bearing 32210,Bearing,50x90x24.75,EA
NTPC,NTPC_PIP_1619,GI Pipe 25mm Medium,Pipe,"25mm, Medium, IS1239",NOS
IOCL,IOCL-VLV-1492,Butterfly Valve 8 Inch CI PN16,Valve,"CI, PN16, Wafer",PCS
CIL,CIL/PMP/1510,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",EA
CIL,CIL-VLV-1513,BALL VLV 80mm SS304 Class 300,Valve,"SS304, Class 300, Screwed",EA
CIL,CIL_VLV_1518,Foot VLV 100mm CI,Valve,"CI, Flanged, With strainer",PCS
NTPC,NTPC-PMP-1622,Slurry Pump 100mm HNBR,Pump,"100mm, HNBR lined",SET
SAIL,SAIL-PMP-1556,Slurry Pump 100mm HNBR,Pump,"100mm, HNBR lined",SET
ONGC,ONGC_PMP_1584,SLURRY PUMP 100MM HNBR,Pump,"100mm, HNBR lined",EA
ONGC,ONGC/VLV/1591,GATE VALVE 150MM CS 300#,Valve,"CS, 300#, RTJ",NOS
ONGC,ONGC_VLV_1596,GATE VALVE 150MM CS 300#,Valve,"CS, 300#, RTJ",EA
SAIL,SAIL_BRG_1562,Needle Roller Bearing NK45/35,Bearing,45x55x35,PCS
CIL,CIL_BRG_1520,Needle Roller BRG NK45/35,Bearing,45x55x35,EA
CPCL,CPCL_VLV_1620,Gate Valve 200 MM CI PN10,Valve,"CI, PN10, Flanged",NOS
NTPC,NTPC/PMP/1623,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",PCS
CPCL,CPCL/GSK/1626,Spiral Wound Gasket 4in 150#,Gasket,"4in, 150#, SS316+Graphite",EA
IOCL,IOCL/MTR/1494,DC Motor 5kW 1500rpm,Motor,"5kW, 220V DC",PCS
CIL,CIL-PMP-1524,Vertical Turbine Pump 200mm,Pump,"200mm column, 75kW",SET
NTPC,NTPC/VLV/1628,Needle - Valve 25mm SS316 6000psi RF,Valve,"SS316, 6000 psi, NPT",NOS
CPCL,CPCL-PMP-1633,Submersible Pump 10HP 100 MM,Pump,"10HP, 100mm bore, 3ph",SET
CPCL,CPCL_VLV_1640,Butterfly Valve 200 MM CI PN16,Valve,"CI, PN16, Wafer",
NTPC,NTPC/MTR/1633,Flameproof Motor 30kW Exd,Motor,"30kW, Exd IIB, 415V",EA
IOCL,IOCL/PMP/1498,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",PCS
CIL,CIL-FLG-1528,Slipon Flange 80mm PN16,Flange,"80 NB, PN16, MS",EA
CPCL,CPCL-PMP-1647,Vertical Turbine Pump 200 MM,Pump,"200mm column, 75kW",SET
ONGC,ONGC-BRG-1597,SPHERICAL ROLLER BEARING 22218,Bearing,90x160x40,PCS
NTPC,NTPC-FLG-1634,WN Flange 100mm 150# CS,Flange,"100 NB, 150#, A105",PCS
IOCL,IOCL_FST_1505,Hex Bolt M20x80 8.8 HDG,Fastener,"M20x80, Gr 8.8, HDG+nut",EA
NTPC,NTPC/PIP/1635,SS316 Pipe 50mm NB Sch40,Pipe,"50 NB, Sch40, Seamless",M
ONGC,ONGC-PMP-1602,SCREW  PUMP 5M3/HR SS,Pump,"5 m3/hr, SS wetted",EA
NTPC,NTPC_FLG_1636,WN Flange 100mm 150# CS,Flange,"100 NB, 150#, A105",EA
IOCL,IOCL/PIP/1508,SS316 Pipe 2 Inch NB Sch40,Pipe,"50 NB, Sch40, Seamless",M
SAIL,SAIL_PMP_1566,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",PCS
NTPC,NTPC_VLV_1640,Gate  Valve 200mm CI PN10 RF,,"CI, PN10, Flanged",EA
ONGC,ONGC_MTR_1607,INDUCTION MOTOR 15KW 4P IE3,Motor,"15kW, 4P, 415V, IE3",NOS
IOCL,IOCL/VLV/1510,Needle Valve 25mm SS316 6000psi,Valve,"SS316, 6000 psi, NPT",PCS
SAIL,???,GI Pipe 25mm Medium,Pipe,"25mm, Medium, IS1239",NOS
NTPC,NTPC_CBL_1643,HT Cable 3Cx300 11kV,Cable,3Cx300 Al XLPE 11kV,M
CPCL,CPCL_PIP_1653,MS Pipe 100 MM NB ERW,Pipe,"100 NB, ERW, 6m",NOS
CIL,CIL/PMP/1531,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",NOS
CPCL,CPCL_FST_1660,Hex Bolt M20x80 8.8 HDG,Fastener,"M20x80, Gr 8.8, HDG+nut",EA
SAIL,???,Knife Gate Valve 250mm SS,Valve,"SS gate, PN10, Lug",PCS
NTPC,NTPC_VLV_1649,Foot Valve 100mm CI RF,Valve,"CI, Flanged, With strainer",EA
ONGC,ONGC_FLG_1614,BLIND FLANGE 50MM 300# SS316,Flange,"50 NB, 300#, SS316",EA
CPCL,CPCL_VLV_1667,Gate Valve 150 MM CS 300#,Valve,"CS, 300#, RTJ",EA
ONGC,ONGC_BRG_1620,SPHERICAL ROLLER BEARING 22218,Bearing,90x160x40,EA
IOCL,IOCL/BRG/1514,Taper Roller Bearing 32210,Bearing,50x90x24.75,NOS
IOCL,IOCL/VLV/1520,Safety Relief Valve 2 Inch SS,Valve,"SS, Set 10 barg, Flanged",EA
CIL,CIL_VLV_1537,GATE VLV 200mm CI PN10,Valve,"CI, PN10, Flanged",PCS
CPCL,CPCL-PMP-1674,Vertical Turbine Pump 200 MM,Pump,"200mm column, 75kW",EA
SAIL,SAIL_VLV_1579,Gate Valve 200mm CI PN10,Valve,"CI, PN10, Flanged",
CPCL,CPCL/PMP/1678,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",NOS
CIL,CIL/PMP/1540,Diaphragm Dosing Pump 0-100LPH,,"0-100 LPH, PP head",PCS
SAIL,SAIL-PMP-1585,Slurry Pump 100mm HNBR,Pump,"100mm, HNBR lined",EA
ONGC,ONGC-PIP-1621,HDPE PIPE 110MM PN10,Pipe,"110mm OD, PN10, PE100",M
CPCL,CPCL-PMP-1682,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",EA
ONGC,ONGC/PMP/1626,GEAR PUMP 2INCH CI,Pump,"2 inch, CI, 1440rpm",NOS
ONGC,ONGC_FLG_1633,BLIND FLANGE 50MM 300# SS316,Flange,"50 NB, 300#, SS316",NOS
SAIL,SAIL-PMP-1586,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",SET
NTPC,NTPC_BRG_1654,Thrust Ball Bearing 51108,Bearing,40x60x13,
SAIL,SAIL-VLV-1592,"Plug, Valve 100mm CS PTFE",Valve,"CS+PTFE sleeve, 150#",NOS
ONGC,ONGC-BRG-1640,SPHERICAL ROLLER BEARING 22218,Bearing,90x160x40,PCS
SAIL,SAIL-PMP-1594,Slurry Pump 100mm HNBR,Pump,"100mm, HNBR lined",SET
CPCL,CPCL-GSK-1687,Ring Joint Gasket R37 SS316,Gasket,"R37, Octagonal, SS316",NOS
SAIL,SAIL-VLV-1600,Plug Valve 100mm CS PTFE,Valve,"CS+PTFE sleeve, 150#",EA
CPCL,CPCL_VLV_1689,Ball Valve 50 MM Brass Screwed,Valve,"Brass, Screwed BSP",NOS
NTPC,NTPC_PMP_1657,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",EA
ONGC,ONGC_VLV_1641,BALL VALVE 50MM BRASS SCREWED,Valve,"Brass, Screwed BSP",NOS
CPCL,CPCL-PMP-1693,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",EA
ONGC,ONGC/VLV/1643,BUTTERFLY VALVE 200MM CI PN16,Valve,"CI, PN16, Wafer",NOS
ONGC,ONGC-PMP-1646,VERTICAL TURBINE PUMP 200MM,Pump,"200mm column, 75kW",SET
IOCL,IOCL/VLV/1522,Plug Valve 4 Inch Carbon Steel PTFE,Valve,"CS+PTFE sleeve, 150#",
ONGC,ONGC/PIP/1648,CS PIPE 150MM NB SCH80,Pipe,"150 NB, Sch80, API 5L",M
SAIL,SAIL-VLV-1606,Gate Valve 100mm CS Class 150,Valve,"CS, 150#, Flanged",EA
NTPC,NTPC_PMP_1660,Slurry Pump 100mm HNBR,Pump,"100mm, HNBR lined",EA
IOCL,IOCL-VLV-1525,Plug Valve 4 Inch Carbon Steel PTFE,Valve,"CS+PTFE sleeve, 150#",NOS
SAIL,SAIL-VLV-1610,Ball Valve 80mm AISI 304 Class 300,Valve,"SS304, Class 300, Screwed",PCS
SAIL,SAIL_PMP_1616,Submersible Pump 10HP 100mm,Pump,"10HP, 100mm bore, 3ph",EA
CIL,CIL/PMP/1544,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",EA
IOCL,IOCL/BRG/1527,Taper Roller Bearing 32210,Bearing,50x90x24.75,NOS
CPCL,CPCL-BRG-1694,Plu MMer Block UCP210,Bearing,"50mm bore, CI housing",NOS
SAIL,SAIL/VLV/1620,Needle Valve 25mm AISI 316 6000psi,Valve,"SS316, 6000 psi, NPT",EA
ONGC,ONGC/VLV/1650,BALL VALVE 50MM BRASS SCREWED,Valve,"Brass, Screwed BSP",PCS
SAIL,SAIL/BRG/1627,Plummer Block UCP210,Bearing,"50mm bore, CI housing",NOS
IOCL,IOCL/VLV/1530,Knife Gate Valve 22 Inch SS,Valve,"SS gate, PN10, Lug",PCS
IOCL,IOCL_VLV_1537,Needle Valve 25mm SS316 6000psi,Valve,"SS316, 6000 psi, NPT",PCS
CPCL,CPCL/VLV/1698,Safety Relief Valve 50 MM SS,,"SS, Set 10 barg, Flanged",PCS
IOCL,IOCL-VLV-1539,Knife Gate Valve 22 Inch SS,Valve,"SS gate, PN10, Lug",PCS
NTPC,NTPC/PMP/1664,Vertical Turbine Pump 200mm,Pump,"200mm column, 75kW",SET
IOCL,IOCL_VLV_1546,Gate Valve 8 Inch CI PN10,Valve,"CI, PN10, Flanged",EA
ONGC,ONGC/VLV/1656,GATE VALVE 100MM CS CL 150,Valve,"CS, 150#, Flanged",NOS
CIL,CIL_VLV_1547,Diaphragm VLV 80mm PP,Valve,"PP body, EPDM diaphragm",EA
CPCL,CPCL_GSK_1705,Spiral Wound Gasket 4in 150#,Gasket,"4in, 150#, SS316+Graphite",PCS
ONGC,ONGC/BRG/1658,DEEP GROOVE BALL BEARING 6205,Bearing,"25x52x15, SKF/equiv",NOS
IOCL,IOCL-VLV-1548,"Check, Valve 12 Inch Carbon Steel Class 150",Valve,"CS, NACE, Flanged",PCS
NTPC,NTPC/BRG/1666,Thrust Ball Bearing 51108,Bearing,40x60x13,PCS
NTPC,NTPC-VLV-1667,Safety Relief Valve 50mm SS RF,Valve,"SS, Set 10 barg, Flanged",PCS
IOCL,IOCL/FST/1551,Hex  Bolt M20x80 8.8 HDG,Fastener,"M20x80, Gr 8.8, HDG+nut",EA
CIL,CIL-FLG-1550,WN Flange 100mm 150# CS,Flange,"100 NB, 150#, A105",NOS
IOCL,IOCL/VLV/1556,Globe Valve 65mm Carbon Steel 150#,Valve,"CS, 150#, Flanged",NOS
NTPC,NTPC_GSK_1674,Spiral Wound Gasket 4in 150#,Gasket,"4in, 150#, SS316+Graphite",EA
IOCL,IOCL/MTR/1562,Induction Motor 15kW 4P IE3,Motor,"15kW, 4P, 415V, IE3",EA
CIL,CIL-VLV-1552,Foot VLV 100mm CI,Valve,"CI, Flanged, With strainer",EA
CIL,CIL/VLV/1554,Butterfly VLV 200mm CI PN16,Valve,"CI, PN16, Wafer",NOS
ONGC,ONGC/GSK/1665,RING JOINT GASKET R37 SS316,Gasket,"R37, Octagonal, SS316",EA
ONGC,ONGC_PIP_1671,SS316 PIPE 50MM NB SCH40,Pipe,"50 NB, Sch40, Seamless",M
ONGC,ONGC-VLV-1677,KNIFE GATE VALVE 250MM SS,Valve,"SS gate, PN10, Lug",NOS
CIL,CIL-BRG-1065,BALL VLV 50mm Brass Screwed,Valve,"Brass, Screwed BSP",EA
IOCL,IOCL_PMP_1567,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",EA
NTPC,NTPC_VLV_1676,Globe Valve 65mm CS 150# RF,Valve,"CS, 150#, Flanged",EA
CIL,CIL_PMP_1564,Vertical Turbine Pump 200mm,Pump,"200mm column, 75kW",SET
NTPC,NTPC/VLV/1678,Diaphragm Valve 80mm PP RF,,"PP body, EPDM diaphragm",EA
IOCL,IOCL-PIP-1568,HDPE Pipe 110mm PN10,Pipe,"110mm OD, PN10, PE100",MTR
NTPC,NTPC/VLV/1685,Gate Valve 200mm CI PN10 RF,Valve,"CI, PN10, Flanged",NOS
NTPC,NTPC/BRG/1686,Needle  Roller Bearing NK45/35,Bearing,45x55x35,EA
NTPC,NTPC/FLG/1692,WN Flange 100mm 150# CS,Flange,"100 NB, 150#, A105",PCS
SAIL,SAIL_VLV_1628,Needle Valve 25mm AISI 316 6000psi,Valve,"SS316, 6000 psi, NPT",PCS
ONGC,ONGC_MTR_1683,FLAMEPROOF MOTOR 30KW EXD,Motor,"30kW, Exd IIB, 415V",EA
CIL,CIL/BRG/1570,Thrust BALL BRG 51108,Bearing,40x60x13,PCS
NTPC,NTPC-PMP-1698,Slurry Pump 100mm HNBR,Pump,"100mm, HNBR lined",SET
CIL,CIL_VLV_1572,Check VLV 150mm CS Class 150,Valve,"CS, NACE, Flanged",NOS
IOCL,IOCL_VLV_1570,Gate Valve 4 Inch Carbon Steel Class 150,Valve,"CS, 150#, Flanged",PCS
CPCL,CPCL-VLV-1712,Ball Valve 50 MM Brass Screwed,Valve,"Brass, Screwed BSP",PCS
IOCL,IOCL/VLV/1573,Check Valve 12 Inch Carbon Steel Class 150,Valve,"CS, NACE, Flanged",NOS
CIL,CIL_VLV_1574,Butterfly VLV 200mm CI PN16,Valve,"CI, PN16, Wafer",NOS
NTPC,NTPC_BRG_1699,Taper  Roller Bearing 32210,Bearing,50x90x24.75,NOS
IOCL,IOCL/PMP/1574,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",PCS
SAIL,SAIL_BRG_1631,Deep Groove Ball Bearing 6205,Bearing,"25x52x15, SKF/equiv",EA
CPCL,CPCL/BRG/1714,Thrust Ball Bearing 51108,Bearing,40x60x13,EA
NTPC,NTPC/VLV/1703,Ball Vlve 80mm SS304 Class 300 RF,Valve,"SS304, Class 300, Screwed",NOS
CIL,CIL/PIP/1578,MS Pipe 100mm NB ERW,Pipe,"100 NB, ERW, 6m",M
IOCL,IOCL-PMP-1576,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",
NTPC,NTPC_VLV_1707,Gate Valve 200mm CI PN10 RF,Valve,"CI, PN10, Flanged",NOS
ONGC,ONGC/PMP/1684,SLURRY PUMP 100MM HNBR,Pump,"100mm, HNBR lined",SET
CIL,CIL/VLV/1584,GATE VLV 200mm CI PN10,Valve,"CI, PN10, Flanged",PCS
CIL,CIL-VLV-1588,Plug VLV 100mm CS PTFE,Valve,"CS+PTFE sleeve, 150#",NOS
CPCL,CPCL-VLV-1720,Gate Valve 50 MM SS316 PN40,Valve,"SS316, PN40, Flanged RF",NOS
ONGC,ONGC_MTR_1690,INDUCTION MOTOR 15KW 4P IE3,Motor,"15kW, 4P, 415V, IE3",EA
IOCL,IOCL/CBL/1578,XLPE Cable 3Cx120sqmm 1.1kV,Cable,"3Cx120, Al, Armoured",M
SAIL,SAIL_VLV_1635,Butterfly Valve 200mm CI PN16,Valve,"CI, PN16, Wafer",EA
CPCL,CPCL/PMP/1726,Submersible Pump 10HP 100 MM,Pump,"10HP, 100mm bore, 3ph",
CIL,CIL_CBL_1592,HT Cable 3Cx300 11kV,Cable,3Cx300 Al XLPE 11kV,M
IOCL,IOCL-VLV-1583,Gate Valve 2 Inch SS316 PN40,Valve,"SS316, PN40, Flanged RF",NOS
IOCL,IOCL/PMP/1590,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",EA
CPCL,CPCL-VLV-1729,Butterfly  Valve 200 MM CI PN16,Valve,"CI, PN16, Wafer",
ONGC,???,SPHERICAL  ROLLER BEARING 22218,Bearing,90x160x40,NOS
CPCL,CPCL/CBL/1733,Control Cable 12Cx2.5sq MM,Cable,"12Cx2.5 Cu, Unarm",NOS
IOCL,IOCL/PMP/1596,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",EA
ONGC,ONGC/PMP/1702,CENTRIFUGAL PUMP 50X40 15KW,Pump,"50x40mm, 15kW, 2900rpm",
IOCL,IOCL_PMP_1398,Diaphragm Valve 3 Inch PP,Valve,"PP body, EPDM diaphragm",PCS
CPCL,CPCL-PMP-1736,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",EA
ONGC,ONGC_CBL_1706,XLPE CABLE 3CX120SQMM 1.1KV,Cable,"3Cx120, Al, Armoured",NOS
IOCL,IOCL_VLV_1606,Butterfly Valve 8 Inch CI PN16,Valve,"CI, PN16, Wafer",PCS
SAIL,SAIL-VLV-1639,Needle Valve 25mm AISI 316 6000psi,Valve,"SS316, 6000 psi, NPT",EA
IOCL,IOCL_VLV_1612,Globe Valve 65mm Carbon Steel 150#,Valve,"CS, 150#, Flanged",EA
CPCL,CPCL/VLV/1743,Safety Relief Valve 50 MM SS,Valve,"SS, Set 10 barg, Flanged",EA
CIL,CIL_BRG_1598,"Deep, Groove BALL BRG 6205",Bearing,"25x52x15, SKF/equiv",EA
SAIL,SAIL_VLV_1643,Gate - Valve 50mm AISI 316 PN40,Valve,"SS316, PN40, Flanged RF",PCS
NTPC,NTPC/CBL/1709,Control Cable 12Cx2.5sqmm,Cable,"12Cx2.5 Cu, Unarm",MTR
IOCL,IOCL_CBL_1613,Control Cable 12Cx2.5sqmm,Cable,"12Cx2.5 Cu, Unarm",M
CPCL,CPCL/GSK/1745,"Spiral, Wound Gasket 4in 150#",Gasket,"4in, 150#, SS316+Graphite",EA
SAIL,SAIL-VLV-1648,Gate Valve 50mm AISI 316 PN40,Valve,"SS316, PN40, Flanged RF",EA
CPCL,CPCL_PIP_1749,GI Pipe 25 MM Medium,Pipe,"25mm, Medium, IS1239",M
